,genres,%
"Crime, Drama, Mystery",1451,13.40
"Comedy, Drama",458,4.23
"Comedy, Crime, Drama",431,3.98
Drama,386,3.57
"Drama, Mystery, Sci-Fi",384,3.55
"Animation, Adventure, Comedy",364,3.36
"Action, Adventure, Drama",354,3.27
"Crime, Drama, Thriller",341,3.15
"Drama, Fantasy, Horror",330,3.05
"Biography, Crime, Drama",328,3.03
Comedy,321,2.96
"Action, Crime, Drama",292,2.70
"Animation, Action, Adventure",280,2.59
"Comedy, Crime",253,2.34
"Action, Adventure, Crime",225,2.08
"Crime, Drama",221,2.04
"Animation, Comedy, Drama",206,1.90
"Crime, Drama, Fantasy",189,1.75
"Drama, Romance",188,1.74
"Animation, Comedy, Romance",168,1.55
"Drama, Mystery, Romance",164,1.51
"Adventure, Fantasy, Romance",162,1.50
Documentary,155,1.43
"Comedy, Drama, Fantasy",153,1.41
"Animation, Action, Comedy",148,1.37
"Action, Crime",139,1.28
"Action, Drama, Fantasy",130,1.20
"Comedy, Drama, Romance",105,0.97
"Action, Adventure, Sci-Fi",104,0.96
"Action, Drama, Mystery",98,0.91
"Action, Drama, Sci-Fi",83,0.77
"Drama, Horror, Mystery",82,0.76
"Drama, Fantasy, Romance",82,0.76
"Drama, Mystery, Thriller",72,0.67
"Drama, Sci-Fi, Thriller",68,0.63
"Drama, Thriller",63,0.58
"Action, Crime, Thriller",59,0.54
"Animation, Family",59,0.54
"Drama, Family",53,0.49
"Adventure, Drama, History",51,0.47
"Animation, Comedy, Family",47,0.43
"Comedy, Drama, Family",45,0.42
"Drama, History, Romance",38,0.35
"Crime, Drama, Horror",38,0.35
"Comedy, Romance",37,0.34
"Action, Drama",37,0.34
"Action, Adventure, Comedy",37,0.34
"Action, Adventure, Thriller",35,0.32
"Action, Adventure, Mystery",35,0.32
"Game-Show, Reality-TV",33,0.30
"Drama, Fantasy",33,0.30
"Action, Sci-Fi, Thriller",32,0.30
"Drama, Horror, Thriller",31,0.29
Animation,31,0.29
"Horror, Mystery, Thriller",30,0.28
"Adventure, Comedy, Drama",30,0.28
"Drama, Romance, Thriller",27,0.25
"Documentary, Biography",27,0.25
"Action, Adventure, Biography",26,0.24
"Action, Comedy, Drama",25,0.23
"Action, Adventure, Fantasy",25,0.23
"Adventure, Drama",24,0.22
"Documentary, Crime",24,0.22
"Comedy, Family",23,0.21
"Action, Drama, Thriller",22,0.20
"Documentary, News",22,0.20
"Crime, Mystery, Thriller",22,0.20
"Biography, Drama, History",22,0.20
Talk-Show,21,0.19
"Animation, Short, Action",21,0.19
"Animation, Adventure, Family",18,0.17
"Action, Horror, Mystery",18,0.17
"Horror, Thriller",17,0.16
"Comedy, Horror",17,0.16
"Documentary, Music",17,0.16
"Drama, Fantasy, Mystery",16,0.15
"Drama, Family, Romance",16,0.15
"Action, Crime, Fantasy",16,0.15
"Comedy, Fantasy, Romance",15,0.14
"Adventure, Comedy, Family",15,0.14
"Biography, Drama",15,0.14
"Documentary, Comedy",15,0.14
Horror,14,0.13
"Adventure, Drama, Family",14,0.13
"Action, Comedy, Crime",14,0.13
"Animation, Short, Adventure",13,0.12
"Action, Thriller",12,0.11
"Drama, Sci-Fi",11,0.10
"Action, Comedy, Fantasy",11,0.10
"Comedy, Musical",10,0.09
"Animation, Family, Fantasy",9,0.08
"Animation, Family, Sci-Fi",9,0.08
Thriller,9,0.08
Reality-TV,9,0.08
"Adventure, Drama, Fantasy",8,0.07
"Comedy, Crime, Thriller",8,0.07
"Documentary, Adventure, Reality-TV",8,0.07
"Documentary, Sport",8,0.07
"Action, Sci-Fi",7,0.06
"Animation, Short",7,0.06
"Animation, Short, Comedy",7,0.06
"Documentary, History",7,0.06
"Drama, War",7,0.06
Action,7,0.06
"Action, Drama, History",7,0.06
"Comedy, Mystery",7,0.06
"Family, Fantasy",6,0.06
"Action, Biography, Drama",6,0.06
"Action, Adventure",6,0.06
"Horror, Mystery",6,0.06
"Drama, History, Thriller",6,0.06
"Animation, Short, Family",6,0.06
"Documentary, Biography, History",6,0.06
"Documentary, Adventure, Comedy",6,0.06
"Comedy, Drama, Western",6,0.06
History,6,0.06
"Documentary, Action, Comedy",6,0.06
"Documentary, History, War",5,0.05
"Comedy, Sport",5,0.05
"Adventure, Biography, Crime",5,0.05
"Comedy, Crime, Mystery",5,0.05
"Drama, Western",5,0.05
"Documentary, Mystery, Reality-TV",5,0.05
"Sci-Fi, Thriller",5,0.05
"Drama, Horror, Sci-Fi",5,0.05
"Action, Adventure, Family",5,0.05
"Drama, Thriller, War",5,0.05
Crime,4,0.04
"Biography, Drama, Romance",4,0.04
Family,4,0.04
"Crime, Drama, Romance",4,0.04
"Documentary, Biography, Crime",4,0.04
"Adventure, Comedy, Crime",4,0.04
"Comedy, Horror, Sci-Fi",4,0.04
"Drama, History",4,0.04
"Comedy, Drama, Music",4,0.04
"Documentary, Biography, Drama",4,0.04
"Adventure, Drama, Mystery",3,0.03
"Animation, Fantasy",3,0.03
"Action, Horror, Sci-Fi",3,0.03
"Animation, Comedy, Family, Fantasy, Horror",3,0.03
"Comedy, Drama, Sport",3,0.03
"Action, Drama, War",3,0.03
"Action, Comedy, Horror",3,0.03
"Family, Fantasy, Musical",3,0.03
"Animation, Short, Adventure, Comedy, Family, Fantasy",3,0.03
"Short, Thriller",3,0.03
"Documentary, History, News",3,0.03
"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",3,0.03
"Adventure, Family, Fantasy",3,0.03
"Adventure, Reality-TV",3,0.03
"Action, Comedy, Romance",3,0.03
"Crime, Thriller",3,0.03
"Biography, Drama, Sport",3,0.03
"Comedy, Drama, War",3,0.03
"Documentary, Crime, Drama",3,0.03
"Action, Crime, Sci-Fi",3,0.03
"Adventure, Comedy, Fantasy",2,0.02
"Biography, Comedy, Drama",2,0.02
"Drama, Music",2,0.02
"Adventure, Sci-Fi",2,0.02
"Action, Fantasy, Horror",2,0.02
"Action, Comedy, Crime, Thriller",2,0.02
"Action, Biography, Crime",2,0.02
"Comedy, Family, Fantasy",2,0.02
"Animation, Comedy, Horror",2,0.02
"Documentary, Action, War",2,0.02
"Comedy, Horror, Thriller",2,0.02
"Family, Fantasy, Horror",2,0.02
"Action, Mystery, Thriller",2,0.02
"Action, Drama, Sport",2,0.02
"Comedy, Music",2,0.02
"Action, Crime, Mystery, Sci-Fi, Thriller",2,0.02
"Documentary, Mystery",2,0.02
"Drama, Music, Romance",2,0.02
"Animation, Action, Drama",2,0.02
"Action, Adventure, Comedy, Family, Sci-Fi",2,0.02
"Action, Adventure, Romance",2,0.02
"Comedy, Drama, Fantasy, Romance",2,0.02
"Action, Adventure, Horror",2,0.02
"Adventure, Drama, Thriller",2,0.02
"Adventure, Fantasy, Sci-Fi",2,0.02
"Comedy, Sci-Fi",2,0.02
"Fantasy, Romance",1,0.01
"Animation, Adventure, Biography, Drama, Family, History, Musical",1,0.01
"Action, Comedy, War",1,0.01
Sport,1,0.01
Short,1,0.01
Romance,1,0.01
"Crime, Film-Noir, Mystery, Romance",1,0.01
"Biography, Drama, War",1,0.01
"Action, Comedy, Family",1,0.01
"Animation, Adventure, Comedy, Family, Horror",1,0.01
"Fantasy, Horror, Mystery",1,0.01
"Short, Drama",1,0.01
"Documentary, Biography, Sport",1,0.01
"Documentary, Crime, Music",1,0.01
"Documentary, Crime, Sport",1,0.01
"Romance, Drama",1,0.01
"Documentary, Comedy, Drama",1,0.01
"Animation, Adventure, Comedy, Family, Musical, Romance",1,0.01
"Family, Fantasy, Music",1,0.01
"Documentary, Crime, History",1,0.01
"Drama, Music, Musical",1,0.01
"Documentary, Short, Sci-Fi",1,0.01
"Action, Fantasy, Sci-Fi",1,0.01
"Animation, Adventure, Comedy, Family, Fantasy",1,0.01
"Adventure, Comedy, Drama, Family, Musical, Romance",1,0.01
"Adventure, Romance",1,0.01
"Adventure, Family",1,0.01
"Action, Adventure, Sci-Fi, Thriller",1,0.01
"Comedy, Thriller",1,0.01
"Drama, Horror",1,0.01
"Action, Crime, Horror",1,0.01
"Biography, Drama, Thriller",1,0.01
"Documentary, Short",1,0.01
"Drama, History, War",1,0.01
"Documentary, Western",1,0.01
"Adventure, Drama, War",1,0.01
"Adventure, Biography, Drama",1,0.01
"Animation, Action, Adventure, Sci-Fi",1,0.01
"Drama, Mystery",1,0.01
"Action, Musical, Romance",1,0.01
"Adventure, Comedy",1,0.01
