,title,%
Riverdale,694,6.40
Narcos,277,2.55
Orange Is the New Black,274,2.53
Brooklyn Nine-Nine,219,2.02
Breaking Bad,206,1.90
The Vampire Diaries,197,1.82
The 100,190,1.75
Big Mouth,168,1.55
BoJack Horseman,167,1.54
Once Upon a Time (2011),162,1.49
Pretty Little Liars,161,1.48
Arrow,152,1.40
House of Cards,148,1.36
Suburra: Blood on Rome,136,1.25
Gossip Girl,132,1.22
How to Get Away with Murder,131,1.21
Rick and Morty,131,1.21
Dexter,126,1.16
The Blacklist,122,1.12
The Good Wife,115,1.06
Lucifer,111,1.02
The Good Place,111,1.02
Californication,105,0.97
Designated Survivor,97,0.89
Scorpion,97,0.89
Gilmore Girls,93,0.86
LEGO Ninjago: Masters of Spinjitzu,92,0.85
Suits (2011),86,0.79
The Expanse,85,0.78
Better Call Saul,84,0.77
Drop Dead Diva,83,0.76
Vikings,82,0.76
Outlander,80,0.74
Grimm,78,0.72
Star Trek: Discovery,78,0.72
Dynasty,71,0.65
13 Reasons Why,67,0.62
Elementary,67,0.62
The Flash,66,0.61
Orphan Black,64,0.59
Mad Men,58,0.53
Nexo Knights,58,0.53
iZombie,56,0.52
Ozark,55,0.51
My Little Pony: Friendship Is Magic,55,0.51
Black Mirror,55,0.51
Ray Donovan,52,0.48
The Originals,52,0.48
The Break,49,0.45
Shadowhunters: The Mortal Instruments,47,0.43
Teen Wolf,46,0.42
Marvel - Daredevil,45,0.41
Peaky Blinders,42,0.39
Jane the Virgin,42,0.39
Supergirl,41,0.38
Limitless,40,0.37
Grace and Frankie,40,0.37
Marco Polo,40,0.37
Skylanders Academy,38,0.35
Full House (1987),38,0.35
Sense8,36,0.33
The Tudors,36,0.33
Marvel's The Defenders,34,0.31
Marvel - Iron Fist,33,0.30
Van Helsing,33,0.30
Shooter,33,0.30
Bates Motel,33,0.30
The IT Crowd,32,0.29
Reign,32,0.29
RuPaul's Drag Race,32,0.29
Under the Dome,32,0.29
Star Trek: The Next Generation,30,0.28
Timeless,30,0.28
Line of Duty,30,0.28
Sherlock,30,0.28
The Mist,30,0.28
Security (2017),29,0.27
Good Witch,29,0.27
American Vandal,28,0.26
F is for Family,28,0.26
Gerald's Game,27,0.25
The Client List,27,0.25
Trailer Park Boys,27,0.25
The Fairly OddParents,26,0.24
Don't Trust the B---- in Apartment 23,26,0.24
Bonus Family,26,0.24
Total Drama,25,0.23
Chesapeake Shores,25,0.23
Lucy,25,0.23
Gypsy,25,0.23
Black Sails,24,0.22
Archer,23,0.21
Mako Mermaids: An H2O Adventure,23,0.21
Stranger Things,23,0.21
Word Party,22,0.20
Ted 2,22,0.20
Disjointed,22,0.20
Fifty Shades of Grey,22,0.20
Greenhouse Academy,22,0.20
Queen of the South,22,0.20
Z Nation,22,0.20
Gotham,21,0.19
Minions,21,0.19
Lockup: Disturbing the Peace,21,0.19
Skins,21,0.19
Marvel's Luke Cage,21,0.19
After Trek,21,0.19
Spartacus,21,0.19
You Me Her,21,0.19
Furious 7,20,0.18
Star Trek: Voyager,20,0.18
Transformers: Robots in Disguise,20,0.18
Trapped,20,0.18
DC's Legends of Tomorrow,20,0.18
Trainwreck,20,0.18
Bloodline,20,0.18
Anne with an E,19,0.18
The Story of Diana,19,0.18
Trollhunters,19,0.18
Hemlock Grove,19,0.18
Degrassi: Next Class,18,0.17
Weeds,18,0.17
Pokémon: XY,18,0.17
Helix,17,0.16
Hannibal,16,0.15
Grand Hotel,16,0.15
When Calls the Heart,16,0.15
Broadchurch,16,0.15
Wanda and the Alien,16,0.15
Marvel - Jessica Jones,16,0.15
"Pablo Escobar, el patrón del mal",16,0.15
From Dusk Till Dawn,16,0.15
Velvet,16,0.15
Master of None,16,0.15
Peppa Pig,16,0.15
Bitten,15,0.14
Puffin Rock,15,0.14
Cosmos: A Spacetime Odyssey,15,0.14
Slasher,15,0.14
Despicable Me 2,15,0.14
Fuller House,15,0.14
Free Rein,14,0.13
Sniffer,14,0.13
Planet Earth: The Complete Collection,14,0.13
Star Trek: Enterprise,14,0.13
Star Trek: Deep Space Nine,14,0.13
Zootopia,13,0.12
Travelers,13,0.12
The Visit (USA) (2015),13,0.12
The Crown,13,0.12
Ex Machina,13,0.12
Penny Dreadful,13,0.12
Touch,13,0.12
The Bridge (2011),12,0.11
Dead Man Down,12,0.11
Super 4,12,0.11
Chef's Table,12,0.11
Guilt,12,0.11
White Gold,12,0.11
Doctor Who,12,0.11
Pac-Man And The Ghostly Adventures,12,0.11
Iron Man,12,0.11
Jurassic World,12,0.11
Aquarius,11,0.10
After Earth,11,0.10
All Hail King Julien,11,0.10
Frontier,11,0.10
Love,11,0.10
American Crime Story,11,0.10
Between,11,0.10
Scream,11,0.10
Making a Murderer,11,0.10
Hercules (1997),11,0.10
Ascension,11,0.10
Chewing Gum,10,0.09
Max and Ruby,10,0.09
Zig and Sharko,10,0.09
Hostages (2013),10,0.09
Death Note (2017),10,0.09
The Fall,10,0.09
Crazy Ex-Girlfriend,10,0.09
ID-0,10,0.09
Equestria Girls: Tales of Canterlot High,10,0.09
Alvinnn!!! And the Chipmunks,10,0.09
Cybernatural,10,0.09
AJIN: Demi-Human,10,0.09
Little Evil,9,0.08
Ender's Game,9,0.08
Space Racers,9,0.08
Elysium,9,0.08
Oddbods,9,0.08
Misfits,9,0.08
Unbreakable Kimmy Schmidt,9,0.08
The OA,9,0.08
Jack Whitehall: Travels with My Father,9,0.08
Now You See Me,9,0.08
Bomb Scared,9,0.08
Turbo FAST,9,0.08
Top of the Lake,9,0.08
Star Trek,9,0.08
Fresh Meat,9,0.08
One Day at a Time,9,0.08
Top Boy: Summerhouse,8,0.07
Merlin,8,0.07
The Confession Tapes,8,0.07
Naked,8,0.07
Prisoners,8,0.07
3%,8,0.07
Ben and Holly's Little Kingdom,8,0.07
This Is the End,8,0.07
Rurouni Kenshin,8,0.07
Norsemen,8,0.07
The Bad Batch,8,0.07
The Magic School Bus Rides Again,8,0.07
True and the Rainbow Kingdom,8,0.07
Real Rob,8,0.07
Stand Up Guys,8,0.07
To the Bone,8,0.07
Homefront,8,0.07
Life Below Zero,8,0.07
The Seven Deadly Sins,7,0.06
River,7,0.06
Haters Back Off,7,0.06
Case,7,0.06
Escape Plan,7,0.06
Broken City,7,0.06
Our Souls At Night,7,0.06
Pokémon the Series: XYZ,7,0.06
The Overnight,7,0.06
Glitter Force Doki Doki,7,0.06
Girlboss,7,0.06
Killjoys,7,0.06
Before I Fall,7,0.06
Christina P: Mother Inferior,7,0.06
An Idiot Abroad,6,0.06
Atypical,6,0.06
The Ranch (2016),6,0.06
Miss Fisher's Murder Mysteries,6,0.06
Ghost Hunt,6,0.06
Captain America: Civil War,6,0.06
Party of Five,6,0.06
The Affair,6,0.06
Care Bears: Welcome to Care-a-Lot,6,0.06
The Royal House of Windsor,6,0.06
Doc Martin,6,0.06
13 Hours: The Secret Soldiers of Benghazi,6,0.06
The Boy Next Door,6,0.06
Kong: King of the Apes,6,0.06
Iron Man 3,6,0.06
It's a Boy Girl Thing,6,0.06
Masters of Sex,6,0.06
Peg + Cat,6,0.06
Lone Survivor,6,0.06
The Worst Witch,6,0.06
Cable Girls,6,0.06
Wakfu,6,0.06
Daniel Tiger's Neighbourhood,6,0.06
Strawberry Shortcake: Berry Bitty Adventures,6,0.06
The Mortal Instruments: City of Bones,6,0.06
Rocco,6,0.06
Cloudy with a Chance of Meatballs 2,6,0.06
Santa Clarita Diet,6,0.06
Luther,6,0.06
Finding Dory,6,0.06
Pixels,6,0.06
American Hustle,5,0.05
Inception,5,0.05
The Pyramid Code,5,0.05
The Iceman,5,0.05
Hot Girls Wanted,5,0.05
Olympus Has Fallen,5,0.05
Glitch,5,0.05
MythBusters,5,0.05
Captain Phillips,5,0.05
A Series of Unfortunate Events,5,0.05
Jobs,5,0.05
Generation Iron 2,5,0.05
The Equalizer,5,0.05
13 Reasons Why: Beyond the Reasons,5,0.05
VeggieTales in the House,5,0.05
H2O: Mermaid Adventures,5,0.05
Nobel,5,0.05
The Smurfs 2,5,0.05
#realityhigh,5,0.05
Crimson Peak,5,0.05
Gaga: Five Foot Two,5,0.05
Sensations of the 20th Century,5,0.05
Side Effects (2013),5,0.05
Strange Empire,5,0.05
Hall Pass,5,0.05
LoliRock,5,0.05
Straight Outta Compton,5,0.05
"The Prize Winner of Defiance, Ohio",4,0.04
Mac and Devin Go to High School,4,0.04
Everest (2015),4,0.04
One for the Money,4,0.04
LEGO Ninjago: Masters of Spinjitzu: Way of the Ninja,4,0.04
Message from the King,4,0.04
The Adventures of Puss in Boots,4,0.04
No Strings Attached,4,0.04
Hotel Beau Séjour,4,0.04
Pokémon: Indigo League,4,0.04
The Standups,4,0.04
My Babysitter's a Vampire,4,0.04
LEGO Ninjago: Masters of Spinjitzu: King of Shadows,4,0.04
The Wolf of Wall Street,4,0.04
Los tiempos de Pablo Escobar,4,0.04
Highway Thru Hell,4,0.04
Vexed,4,0.04
Wynonna Earp,4,0.04
Crazyhead,4,0.04
Jadotville,4,0.04
Barbie Life in the Dreamhouse,4,0.04
Friday,4,0.04
White House Down,4,0.04
Jumanji,4,0.04
No Country for Old Men,4,0.04
Limitless (2011),4,0.04
The Ouija Experiment,4,0.04
The Call (2013),4,0.04
The Legend of Hercules,4,0.04
Iron Man 2,4,0.04
Jumper,4,0.04
Nature's Great Events (2009),4,0.04
Kate and Mim-Mim,4,0.04
The Returned (2015),4,0.04
Castlevania,4,0.04
Killing Season,4,0.04
Africa,4,0.04
Wet Hot American Summer: Ten Years Later,4,0.04
Treasures Decoded,3,0.03
Rise of the Guardians,3,0.03
First They Killed My Father,3,0.03
LEGO Ninjago: Masters of Spinjitzu: Happy Birthday to You!,3,0.03
Capture the Flag,3,0.03
Get Smart,3,0.03
Project Mc²,3,0.03
Sundown,3,0.03
Lockup: First Timers,3,0.03
Intersection,3,0.03
LEGO Elves: Secrets of Elvendale,3,0.03
Battle: Los Angeles,3,0.03
War Machine,3,0.03
Alvin and the Chipmunks: Chipwrecked,3,0.03
Did You Hear About the Morgans?,3,0.03
Road Trip,3,0.03
The Magic School Bus,3,0.03
Popples,3,0.03
Street Kings,3,0.03
Real Detective,3,0.03
Metallica: Some Kind of Monster,3,0.03
Yes Man,3,0.03
Parker,3,0.03
Taken,3,0.03
Hostel: Part III,3,0.03
The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,3,0.03
Unfaithful,3,0.03
Banking on Bitcoin,3,0.03
A.D. Kingdom and Empire,3,0.03
xXx,3,0.03
Amar (2017),3,0.03
The Hangover,3,0.03
Spy Kids 3: Game Over,3,0.03
APEX: The Story of the Hypercar,3,0.03
Black Site Delta,3,0.03
Skin Wars,3,0.03
Mall Girls,3,0.03
In Time,3,0.03
Clinical,3,0.03
The Sweetest Thing,3,0.03
Lemony Snicket's A Series of Unfortunate Events,3,0.03
I'll See You in My Dreams,3,0.03
Teletubbies,3,0.03
Zero Dark Thirty,3,0.03
Expendables 2,3,0.03
Tayo the Little Bus,3,0.03
Wild Kratts,3,0.03
Paranoia,3,0.03
My Sister's Keeper,3,0.03
Whitney: Can I Be Me,3,0.03
The Perks of Being a Wallflower,3,0.03
Fire Chasers,3,0.03
Chasing Cameron,3,0.03
The Client,3,0.03
Jerry Before Seinfeld,3,0.03
Paranoid,3,0.03
Faster (2010),3,0.03
The Italian Job (2003),3,0.03
Ricki and the Flash,3,0.03
Little Witch Academia,3,0.03
Blue Mountain State,3,0.03
Project X (2012),3,0.03
You Get Me,3,0.03
The Godfather,3,0.03
White Girl,3,0.03
Friends from College,3,0.03
Knight and Day,3,0.03
"Frauen, die Geschichte machten",3,0.03
What the Health,3,0.03
True Memoirs of an International Assassin,3,0.03
Body of Lies,3,0.03
"Lizzie Borden Chronicles, The",3,0.03
Indiana Jones and the Kingdom of the Crystal Skull,3,0.03
Monte Carlo,3,0.03
The Impossible,3,0.03
Luna Petunia,3,0.03
Sherlock Holmes: A Game of Shadows,3,0.03
Wild China,3,0.03
Sand Castle,3,0.03
The Truman Show,3,0.03
LEGO: Friends: Happy Birthday to You!,3,0.03
Sandy Wexler,3,0.03
Spooky Stories,3,0.03
Dredd,3,0.03
Hinterland,3,0.03
Julius Jr.,3,0.03
Fast and Furious 6,3,0.03
Forrest Gump,3,0.03
LEGO Friends: The Power of Friendship,3,0.03
Fight Club,3,0.03
Scouts vs. Zombies,3,0.03
Caillou,3,0.03
Alvin and the Chipmunks,3,0.03
There Will Be Blood,3,0.03
Pee-wee's Big Holiday,3,0.03
National Security,2,0.02
Secrets of the Third Reich II,2,0.02
Breakfast at Tiffany's,2,0.02
Fantastic Mr. Fox,2,0.02
Marcella,2,0.02
The Mechanic (2011),2,0.02
Centurion,2,0.02
Slugterra,2,0.02
Due Date,2,0.02
Man on fire (2004),2,0.02
The Great Train Robbery,2,0.02
Tip the Mouse,2,0.02
Chef's Table: France,2,0.02
Love Happens,2,0.02
The Bucket List,2,0.02
The Ugly Truth,2,0.02
Halo: The Fall of Reach,2,0.02
Goosebumps,2,0.02
Barefoot in the Park,2,0.02
Kill Bill: Vol. 1,2,0.02
Nazi Concentration Camps,2,0.02
Tales of Halloween,2,0.02
The Jungle Book (2016),2,0.02
The Matrix,2,0.02
The Last Samurai,2,0.02
Franca: Chaos and Creation,2,0.02
Happy Tree Friends,2,0.02
Louis C.K. 2017,2,0.02
Unacknowledged,2,0.02
Shrek's Swamp Stories,2,0.02
Casper's Haunted Christmas,2,0.02
GoodFellas,2,0.02
Sherlock Holmes,2,0.02
Killer Elite,2,0.02
The Bar,2,0.02
The Lord of the Rings: The Return of the King,2,0.02
Resident Evil: Retribution,2,0.02
Albion: The Enchanted Stallion,2,0.02
The Lucky One,2,0.02
Neo Yokio,2,0.02
12 Monkeys,2,0.02
Ella the Elephant,2,0.02
Mission: Impossible 5,2,0.02
Pitch Perfect 2,2,0.02
Honeymoon (2015),2,0.02
Alvin and the Chipmunks: The Squeakquel,2,0.02
My Little Pony Equestria Girls: Rainbow Rocks,2,0.02
Bride Wars,2,0.02
The Choice,2,0.02
"Big Mommas: Like Father, Like Son",2,0.02
The Exorcism of Anna Ecklund,2,0.02
The Invitation,2,0.02
Special Forces: Ultimate Hell Week,2,0.02
The Big Short,2,0.02
Shrek the Halls,2,0.02
Max Steel (2013),2,0.02
The Do-Over,2,0.02
American History X,2,0.02
Jackass 3.5: The Explicit Movie,2,0.02
Final Girl,2,0.02
"Crazy, Stupid, Love",2,0.02
Catch and Release,2,0.02
Footloose (1984),2,0.02
Secret Societies - Myths and Realities of a Parallel World,2,0.02
300,2,0.02
Keith Richards: Under the Influence,2,0.02
Zathura,2,0.02
GLOW,2,0.02
Look Who's Back,2,0.02
Boyka: Undisputed,2,0.02
2001: A Space Odyssey,2,0.02
Daredevil,2,0.02
Mirrors,2,0.02
Love and Other Drugs,2,0.02
72 Dangerous Places,2,0.02
Saving Private Ryan,2,0.02
Spy Kids 2: The Island of Lost Dreams,2,0.02
Apaches,2,0.02
Digimon Fusion,2,0.02
Halo 4: Forward Unto Dawn,2,0.02
Lilyhammer,2,0.02
XOXO,2,0.02
The Silenced,2,0.02
The SpongeBob SquarePants Movie,2,0.02
The Secrets of Emily Blair,2,0.02
Iron Man: Armored Adventures,2,0.02
Mighty Morphin Power Rangers,2,0.02
Littlest Pet Shop,2,0.02
Cowspiracy,2,0.02
Richie Rich,2,0.02
Zoo,2,0.02
Abstract: The Art of Design,2,0.02
Saints and Strangers,2,0.02
The Expendables,2,0.02
The Double (2011),2,0.02
Sinbad: Legend of the Seven Seas,2,0.02
Unknown,2,0.02
Life with Boys,2,0.02
Britain's Biggest Adventures with Bear Grylls,2,0.02
